鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大安區,房地(土地+建物),臺北市大安區樂利路５巷１１號三樓,14.06,住,,,1150116,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0680203,49.69,1,2,1,有,無,13880000,279332,,0.0,0,陽台外推；其他增建；,RPPNMLNJLHLGFFA57DA,42.43,0.48,6.78,無,
大安區,房地(土地+建物)+車位,臺北市大安區四維路１９２巷１６號七樓,28.95,住,,,1150125,土地1建物1車位2,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020131,187.10999999999999,3,2,2,有,有,69280000,353381,塔式車位,2.38,4000000,塔式車位位於地上一樓。陽台外推；夾層；其他增建；,RPRNMLTKLHLGFFA48DA,104.77,6.29,13.4,有,092
大安區,房地(土地+建物)+車位,臺北市大安區復興南路一段３４２號十三樓,8.4,商,,,1150129,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1121129,149.3,0,2,2,有,有,57000000,474953,坡道平面,37.71,4000000,,RPRNMLKLLHLGFFA67DA,68.16,1.59,10.14,有,
大安區,房地(土地+建物),臺北市大安區敦化南路二段４６號九樓,5.9,住,,,1150131,土地1建物1車位0,九層，陽台,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0640602,69.96000000000001,2,1,1,有,有,25080000,358491,,0.0,0,陽台外推；,RPSNMLNLLHLGFFA08DA,57.34,0.0,0.0,有,093
大安區,房地(土地+建物),臺北市大安區安和路二段１８號十一樓,16.84,住,,,1150127,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720514,123.0,4,2,2,有,有,42800000,347967,,0.0,0,陽台外推；,RPWNMLTJMHLGFFA98DA,101.41,0.0,17.44,有,
文山區,房地(土地+建物)+車位,臺北市文山區和興路５２巷７弄６號九樓之１,18.29,,,,1150131,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851227,129.06,3,2,2,有,有,21000000,162715,坡道平面,0.0,0,,RPRNMLKMLHLGFAA27DA,58.78,10.67,6.86,有,094
萬華區,房地(土地+建物),臺北市萬華區艋舺大道３８６巷７號三樓,28.25,住,,,1150125,土地1建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600821,73.62,3,2,1,有,無,12250000,166395,,0.0,0,陽台外推；其他增建；,RPUNMLQKLHLGFBA08DA,73.62,0.0,0.0,無,
大同區,房地(土地+建物),臺北市大同區民權西路１２２號四樓之２,3.39,商,,,1150116,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970623,40.15,1,1,1,有,有,10820000,269489,,0.0,0,夾層；,RPWNMLKLLHLGFBA77DA,22.85,1.23,3.19,有,
內湖區,房地(土地+建物),臺北市內湖區民權東路六段５１號四樓,30.84,住,,,1150129,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721118,112.0,3,2,2,有,無,17000000,151786,,0.0,0,,RPSOMLOJLHLGFCA77DA,96.56,0.0,10.58,無,
內湖區,房地(土地+建物),臺北市內湖區成功路四段３２４巷４弄２號二樓,24.91,住,,,1150104,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741104,105.0,3,2,2,有,無,21250000,202381,,0.0,0,其他增建；,RPPOMLQKLHLGFCA77DA,88.49,0.0,7.55,無,
